"County","State","Year","n"
"Utah","UT",1977,1
"Clark","NV",1979,1
"Leon","FL",1979,1
"Marion","IN",1981,1
"Newport News","VA",1982,1
"Tarrant","TX",1982,1
"Bibb","GA",1983,1
"East Baton Rouge Parish","LA",1983,1
"Jackson","MS",1983,1
"Miami-Dade","FL",1983,1
"Mobile","AL",1983,1
"Alachua","FL",1984,1
"Bell","TX",1984,1
"Bleckley","GA",1984,1
"Bossier Parish","LA",1984,1
"Decatur","GA",1984,1
"Duval","FL",1984,2
"Harris","TX",1984,1
"Hillsborough","FL",1984,1
"Iberia Parish","LA",1984,1
"Jefferson","TX",1984,1
"Jefferson Parish","LA",1984,1
"Lee","FL",1984,1
"McDowell","NC",1984,1
"Miami-Dade","FL",1984,1
"Orange","FL",1984,1
"Ouachita Parish","LA",1984,1
"Richmond","VA",1984,1
"Robeson","NC",1984,1
"St. Lucie","FL",1984,1
"Washington Parish","LA",1984,1
"Bexar","TX",1985,1
"Bibb","GA",1985,1
"Brooks","GA",1985,1
"Clark","NV",1985,1
"Cobb","GA",1985,1
"Duval","FL",1985,1
"Jefferson","TX",1985,1
"Lafourche Parish","LA",1985,1
"Lake","IN",1985,1
"Live Oak","TX",1985,1
"Miami-Dade","FL",1985,1
"Northampton","VA",1985,1
"Potter","TX",1985,1
"Richland","SC",1985,1
"Richmond","VA",1985,1
"Tarrant","TX",1985,2
"Volusia","FL",1985,1
"Dallas","TX",1986,1
"Duval","FL",1986,2
"El Paso","TX",1986,1
"Galveston","TX",1986,1
"Harris","TX",1986,4
"James County","VA",1986,1
"Mobile","AL",1986,1
"Muscogee","GA",1986,1
"Nueces","TX",1986,1
"Polk","FL",1986,1
"Potter","TX",1986,1
"Richland","SC",1986,1
"Tom Green","TX",1986,1
"Wake","NC",1986,1
"Bexar","TX",1987,1
"Bibb","GA",1987,1
"Bossier Parish","LA",1987,1
"El Paso","TX",1987,2
"Fairfax","VA",1987,1
"Fulton","GA",1987,1
"Harris","TX",1987,1
"Hinds","MS",1987,1
"Jefferson","TX",1987,1
"Jefferson Parish","LA",1987,1
"Lafayette Parish","LA",1987,3
"Leake","MS",1987,1
